year,level_1,level_2,value
1970,Total Citizen,0  -  4 Years,226454
1970,Total Citizen,5  -  9 Years,267122
1970,Total Citizen,10 - 14 Years,273014
1970,Total Citizen,15 - 19 Years,227001
1970,Total Citizen,20 - 24 Years,175775
1970,Total Citizen,25 - 29 Years,102974
1970,Total Citizen,30 - 34 Years,112188
1970,Total Citizen,35 - 39 Years,99402
1970,Total Citizen,40 - 44 Years,89503
1970,Total Citizen,45 - 49 Years,72546
1970,Total Citizen,50 - 54 Years,64000
1970,Total Citizen,55 - 59 Years,59360
1970,Total Citizen,60 - 64 Years,44625
1970,Total Citizen,65 - 69 Years,30228
1970,Total Citizen,70 - 74 Years,16534
1970,Total Citizen,75 - 79 Years,8614
1970,Total Citizen,80 - 84 Years,na
1970,Total Citizen,65 Years & Over,60814
1970,Total Citizen,70 Years & Over,30586
1970,Total Citizen,75 Years & Over,14052
1970,Total Citizen,80 Years & Over,5438
1970,Total Citizen,85 Years & Over,na
1970,Total Male Citizens,0  -  4 Years,116504
1970,Total Male Citizens,5  -  9 Years,137165
1970,Total Male Citizens,10 - 14 Years,140331
1970,Total Male Citizens,15 - 19 Years,116891
1970,Total Male Citizens,20 - 24 Years,90779
1970,Total Male Citizens,25 - 29 Years,53038
1970,Total Male Citizens,30 - 34 Years,57664
1970,Total Male Citizens,35 - 39 Years,51515
1970,Total Male Citizens,40 - 44 Years,47121
1970,Total Male Citizens,45 - 49 Years,38074
1970,Total Male Citizens,50 - 54 Years,33015
1970,Total Male Citizens,55 - 59 Years,30470
1970,Total Male Citizens,60 - 64 Years,22773
1970,Total Male Citizens,65 - 69 Years,14946
1970,Total Male Citizens,70 - 74 Years,7444
1970,Total Male Citizens,75 - 79 Years,3372
1970,Total Male Citizens,80 - 84 Years,na
1970,Total Male Citizens,65 Years & Over,27433
1970,Total Male Citizens,70 Years & Over,12487
1970,Total Male Citizens,75 Years & Over,5043
1970,Total Male Citizens,80 Years & Over,1671
1970,Total Male Citizens,85 Years & Over,na
1970,Total Female Citizens,0  -  4 Years,109950
1970,Total Female Citizens,5  -  9 Years,129957
1970,Total Female Citizens,10 - 14 Years,132683
1970,Total Female Citizens,15 - 19 Years,110110
1970,Total Female Citizens,20 - 24 Years,84996
1970,Total Female Citizens,25 - 29 Years,49936
1970,Total Female Citizens,30 - 34 Years,54524
1970,Total Female Citizens,35 - 39 Years,47887
